Source,Target,UniprotKB ACC,PATRIC ID
"PA14_00060","YP_788160.1",,
"PA14_00060","YP_788160.1",,"fig|208963.12.peg.5"
"PA14_00070","YP_788161.1",,
"PA14_00070","YP_788161.1",,"fig|208963.12.peg.6"
"PA14_00120","YP_788166.1",,
"PA14_00120","YP_788166.1",,"fig|208963.12.peg.11"
"PA14_00250","YP_788178.1",,"fig|208963.12.peg.22"
"PA14_00250","YP_788178.1",,
"PA14_00280","YP_788179.1",,"fig|208963.12.peg.23"
"PA14_00280","YP_788179.1",,
"PA14_00290","YP_788180.1",,"fig|208963.12.peg.24"
"PA14_00290","YP_788180.1",,
"PA14_00440","YP_788191.1",,
"PA14_00440","YP_788191.1",,"fig|208963.12.peg.35"
"PA14_00450","YP_788192.1",,"fig|208963.12.peg.36"
"PA14_00450","YP_788192.1",,
"PA14_00640","YP_788208.1",,"fig|208963.12.peg.54"
"PA14_00640","YP_788208.1",,
"PA14_01250","YP_788261.1",,
"PA14_01250","YP_788261.1",,"fig|208963.12.peg.107"
"PA14_01460","YP_788277.1",,
"PA14_01460","YP_788277.1",,"fig|208963.12.peg.124"
"PA14_01580","YP_788287.1",,
"PA14_01580","YP_788287.1",,"fig|208963.12.peg.134"
"PA14_01600","YP_788288.1",,
"PA14_01600","YP_788288.1",,"fig|208963.12.peg.135"
"PA14_01620","YP_788290.1",,
"PA14_01620","YP_788290.1",,"fig|208963.12.peg.137"
"PA14_01660","YP_788292.1",,"fig|208963.12.peg.139"
"PA14_01660","YP_788292.1",,
"PA14_01760","YP_788300.1",,"fig|208963.12.peg.149"
"PA14_01760","YP_788300.1",,
"PA14_01830","YP_788306.1",,"fig|208963.12.peg.157"
"PA14_01830","YP_788306.1",,
"PA14_01900","YP_788311.1",,"fig|208963.12.peg.162"
"PA14_01900","YP_788311.1",,
"PA14_01910","YP_788312.1",,"fig|208963.12.peg.163"
"PA14_01910","YP_788312.1",,
"PA14_02070","YP_788324.1",,"fig|208963.12.peg.176"
"PA14_02070","YP_788324.1",,
"PA14_02330","YP_788342.1",,"fig|208963.12.peg.194"
"PA14_02330","YP_788342.1",,
"PA14_02340","YP_788343.1",,"fig|208963.12.peg.195"
"PA14_02340","YP_788343.1",,
"PA14_02450","YP_788351.1",,
"PA14_02450","YP_788351.1",,"fig|208963.12.peg.204"
"PA14_02470","YP_788353.1",,
"PA14_02470","YP_788353.1",,"fig|208963.12.peg.206"
"PA14_02550","YP_788359.1",,"fig|208963.12.peg.212"
"PA14_02550","YP_788359.1",,
"PA14_02570","YP_788361.1",,"fig|208963.12.peg.214"
"PA14_02570","YP_788361.1",,
"PA14_02580","YP_788362.1",,
"PA14_02580","YP_788362.1",,"fig|208963.12.peg.215"
"PA14_02590","YP_788363.1",,"fig|208963.12.peg.216"
"PA14_02590","YP_788363.1",,
"PA14_02630","YP_788366.1",,
"PA14_02630","YP_788366.1",,"fig|208963.12.peg.220"
"PA14_02640","YP_788367.1",,
"PA14_02640","YP_788367.1",,"fig|208963.12.peg.221"
"PA14_02680","YP_788370.1",,
"PA14_02680","YP_788370.1",,"fig|208963.12.peg.225"
"PA14_02790","YP_788379.1",,
"PA14_02790","YP_788379.1",,"fig|208963.12.peg.234"
"PA14_02810","YP_788380.1",,"fig|208963.12.peg.235"
"PA14_02810","YP_788380.1",,
"PA14_02830","YP_788381.1",,
"PA14_02830","YP_788381.1",,"fig|208963.12.peg.236"
"PA14_02840","YP_788382.1",,
"PA14_02840","YP_788382.1",,"fig|208963.12.peg.237"
"PA14_02850","YP_788383.1",,"fig|208963.12.peg.238"
"PA14_02850","YP_788383.1",,
"PA14_02900","YP_788386.1",,
"PA14_02900","YP_788386.1",,"fig|208963.12.peg.241"
"PA14_02990","YP_788392.1",,
"PA14_02990","YP_788392.1",,"fig|208963.12.peg.247"
"PA14_03000","YP_788393.1",,"fig|208963.12.peg.248"
"PA14_03000","YP_788393.1",,
"PA14_03030","YP_788396.1",,
"PA14_03030","YP_788396.1",,"fig|208963.12.peg.251"
"PA14_03050","YP_788398.1",,
"PA14_03050","YP_788398.1",,"fig|208963.12.peg.253"
"PA14_03130","YP_788405.1",,"fig|208963.12.peg.260"
"PA14_03130","YP_788405.1",,
"PA14_03430","YP_788434.1",,
"PA14_03430","YP_788434.1",,"fig|208963.12.peg.284"
"PA14_03450","YP_788435.1",,"fig|208963.12.peg.286"
"PA14_03450","YP_788435.1",,
"PA14_03550","YP_788442.1",,"fig|208963.12.peg.294"
"PA14_03550","YP_788442.1",,
"PA14_03650","YP_788449.1",,
"PA14_03650","YP_788449.1",,"fig|208963.12.peg.301"
"PA14_03670","YP_788450.1",,
"PA14_03670","YP_788450.1",,"fig|208963.12.peg.302"
"PA14_03680","YP_788451.1",,
"PA14_03680","YP_788451.1",,"fig|208963.12.peg.303"
"PA14_03700","YP_788452.1",,"fig|208963.12.peg.304"
"PA14_03700","YP_788452.1",,
"PA14_03770","YP_788457.1",,
"PA14_03770","YP_788457.1",,"fig|208963.12.peg.310"
"PA14_03810","YP_788461.1",,
"PA14_03810","YP_788461.1",,"fig|208963.12.peg.314"
"PA14_03830","YP_788462.1",,"fig|208963.12.peg.315"
"PA14_03830","YP_788462.1",,
"PA14_03860","YP_788465.1",,
