FeatureID	FeatureType	locus tag	name	
AEX-0000001	source			
AEX-0000002	CDS	PA14_00010	dnaA	
AEX-0000003	CDS	PA14_00020	dnaN	
AEX-0000004	CDS	PA14_00030	recF	
AEX-0000005	CDS	PA14_00050	gyrB	
AEX-0000006	CDS	PA14_00060		
AEX-0000007	CDS	PA14_00070		
AEX-0000008	CDS	PA14_00080		
AEX-0000009	CDS	PA14_00090	glyS	
AEX-0000010	CDS	PA14_00100	glyQ	
AEX-0000011	CDS	PA14_00110	tag	
AEX-0000012	CDS	PA14_00120		
AEX-0000013	CDS	PA14_00130		
AEX-0000014	CDS	PA14_00140		
AEX-0000015	CDS	PA14_00150		
AEX-0000016	CDS	PA14_00160		
AEX-0000017	CDS	PA14_00170	trkA	
AEX-0000018	CDS	PA14_00180		
AEX-0000019	CDS	PA14_00190	fmt	
AEX-0000020	CDS	PA14_00200	def	
AEX-0000021	CDS	PA14_00210		
AEX-0000022	CDS	PA14_00230		
AEX-0000023	CDS	PA14_00240		
AEX-0000024	CDS	PA14_00250	qor	
AEX-0000025	CDS	PA14_00280	hemF	
AEX-0000026	CDS	PA14_00290	aroE	
AEX-0000027	CDS	PA14_00300	plcB	
AEX-0000028	CDS	PA14_00310		
AEX-0000029	CDS	PA14_00320		
AEX-0000030	CDS	PA14_00340		
AEX-0000031	CDS	PA14_00360		
AEX-0000032	CDS	PA14_00380	betC	
AEX-0000033	CDS	PA14_00400		
AEX-0000034	CDS	PA14_00410		
AEX-0000035	CDS	PA14_00420		
AEX-0000036	CDS	PA14_00430		
AEX-0000037	CDS	PA14_00440	trpA	
AEX-0000038	CDS	PA14_00450	trpB	
AEX-0000039	CDS	PA14_00460	trpI	
AEX-0000040	CDS	PA14_00470		
AEX-0000041	CDS	PA14_00480		
AEX-0000042	CDS	PA14_00490		
AEX-0000043	CDS	PA14_00510		
AEX-0000044	CDS	PA14_00520		
AEX-0000045	CDS	PA14_00530		
AEX-0000046	CDS	PA14_00550		
AEX-0000047	CDS	PA14_00560	exoT	
AEX-0000048	CDS	PA14_00570		
AEX-0000049	CDS	PA14_00580		
AEX-0000050	CDS	PA14_00590		
AEX-0000051	CDS	PA14_00600		
AEX-0000052	CDS	PA14_00620		
AEX-0000053	CDS	PA14_00630		
AEX-0000054	CDS	PA14_00640	phzH	
AEX-0000055	CDS	PA14_00650		
AEX-0000056	CDS	PA14_00660		
AEX-0000057	CDS	PA14_00670		
AEX-0000058	CDS	PA14_00680		
AEX-0000059	CDS	PA14_00690		
AEX-0000060	CDS	PA14_00700		
AEX-0000061	CDS	PA14_00710	osmC	
AEX-0000062	CDS	PA14_00720		
AEX-0000063	CDS	PA14_00730		
AEX-0000064	CDS	PA14_00740		
AEX-0000065	CDS	PA14_00750		
AEX-0000066	CDS	PA14_00760		
AEX-0000067	CDS	PA14_00770		
AEX-0000068	CDS	PA14_00780		
AEX-0000069	CDS	PA14_00790	prlC	
AEX-0000070	CDS	PA14_00800		
AEX-0000071	CDS	PA14_00810		
AEX-0000072	CDS	PA14_00820		
AEX-0000073	CDS	PA14_00830		
AEX-0000074	CDS	PA14_00850		
AEX-0000075	CDS	PA14_00860		
AEX-0000076	CDS	PA14_00875	ppkA	
AEX-0000077	CDS	PA14_00890		
AEX-0000078	CDS	PA14_00900		
AEX-0000079	CDS	PA14_00910		
AEX-0000080	CDS	PA14_00925		
AEX-0000081	CDS	PA14_00940		
AEX-0000082	CDS	PA14_00960		
AEX-0000083	CDS	PA14_00970		
AEX-0000084	CDS	PA14_00980		
AEX-0000085	CDS	PA14_00990		
AEX-0000086	CDS	PA14_01010		
AEX-0000087	CDS	PA14_01020		
AEX-0000088	CDS	PA14_01030		
AEX-0000089	CDS	PA14_01040		
AEX-0000090	CDS	PA14_01060		
AEX-0000091	CDS	PA14_01070		
AEX-0000092	CDS	PA14_01080		
AEX-0000093	CDS	PA14_01100		
AEX-0000094	CDS	PA14_01110		
AEX-0000095	CDS	PA14_01120		
AEX-0000096	CDS	PA14_01130		
AEX-0000097	CDS	PA14_01140		
AEX-0000098	CDS	PA14_01150		
AEX-0000099	CDS	PA14_01160		
AEX-0000100	CDS	PA14_01170		
AEX-0000101	CDS	PA14_01180		
AEX-0000102	CDS	PA14_01190		
AEX-0000103	CDS	PA14_01200		
AEX-0000104	CDS	PA14_01220		
AEX-0000105	CDS	PA14_01230		
AEX-0000106	CDS	PA14_01240		
AEX-0000107	CDS	PA14_01250		
AEX-0000108	CDS	PA14_01270		
AEX-0000109	CDS	PA14_01290	coxB	
AEX-0000110	CDS	PA14_01300	coxA	
AEX-0000111	CDS	PA14_01310		
AEX-0000112	CDS	PA14_01320	coIII	
AEX-0000113	CDS	PA14_01330		
AEX-0000114	CDS	PA14_01340		
AEX-0000115	CDS	PA14_01350		
AEX-0000116	CDS	PA14_01360		
AEX-0000117	CDS	PA14_01380		
AEX-0000118	CDS	PA14_01390		
AEX-0000119	CDS	PA14_01400		
AEX-0000120	CDS	PA14_01410		
AEX-0000121	CDS	PA14_01430		
AEX-0000122	CDS	PA14_01440		
AEX-0000123	CDS	PA14_01460		
AEX-0000124	CDS	PA14_01470		
AEX-0000125	CDS	PA14_01480		
AEX-0000126	CDS	PA14_01490		
AEX-0000127	CDS	PA14_01500		
AEX-0000128	CDS	PA14_01510		
AEX-0000129	CDS	PA14_01520		
AEX-0000130	CDS	PA14_01540		
AEX-0000131	CDS	PA14_01550		
AEX-0000132	CDS	PA14_01560		
AEX-0000133	CDS	PA14_01580	gabP	
AEX-0000134	CDS	PA14_01600		
AEX-0000135	CDS	PA14_01610		
AEX-0000136	CDS	PA14_01620	aptA	
AEX-0000137	CDS	PA14_01640		
AEX-0000138	CDS	PA14_01660		
AEX-0000139	CDS	PA14_01670		
AEX-0000140	CDS	PA14_01680		
AEX-0000141	CDS	PA14_01690		
AEX-0000142	CDS	PA14_01710	ahpC	
AEX-0000143	CDS	PA14_01720	ahpF	
AEX-0000144	CDS	PA14_01730		
AEX-0000145	CDS	PA14_01750		
AEX-0000146	CDS	PA14_01760	nuh	
AEX-0000147	CDS	PA14_01770		
AEX-0000148	CDS	PA14_01780		
AEX-0000149	CDS	PA14_01790		
AEX-0000150	CDS	PA14_01800		
AEX-0000151	CDS	PA14_01810		
AEX-0000152	CDS	PA14_01830		
AEX-0000153	CDS	PA14_01840		
AEX-0000154	CDS	PA14_01860		
AEX-0000155	CDS	PA14_01870		
AEX-0000156	CDS	PA14_01890	pcaQ	
AEX-0000157	CDS	PA14_01900	pcaH	
AEX-0000158	CDS	PA14_01910	pcaG	
AEX-0000159	CDS	PA14_01930	pcaR	
AEX-0000160	CDS	PA14_01940		
AEX-0000161	CDS	PA14_01960		
AEX-0000162	CDS	PA14_01970		
AEX-0000163	CDS	PA14_01980		
AEX-0000164	CDS	PA14_01990		
AEX-0000165	CDS	PA14_02010		
AEX-0000166	CDS	PA14_02020		
AEX-0000167	CDS	PA14_02030		
AEX-0000168	CDS	PA14_02050		
AEX-0000169	CDS	PA14_02060		
AEX-0000170	CDS	PA14_02070		
AEX-0000171	CDS	PA14_02090		
AEX-0000172	CDS	PA14_02100		
AEX-0000173	CDS	PA14_02110		
AEX-0000174	CDS	PA14_02130		
AEX-0000175	CDS	PA14_02140		
AEX-0000176	CDS	PA14_02150		
AEX-0000177	CDS	PA14_02180	cheB	
AEX-0000178	CDS	PA14_02190		
AEX-0000179	CDS	PA14_02200		
AEX-0000180	CDS	PA14_02220		
AEX-0000181	CDS	PA14_02230	cheW	
AEX-0000182	CDS	PA14_02250	cheA	
AEX-0000183	CDS	PA14_02260		
AEX-0000184	CDS	PA14_02270		
AEX-0000185	CDS	PA14_02290		
AEX-0000186	CDS	PA14_02300		
AEX-0000187	CDS	PA14_02310	atsA	
AEX-0000188	CDS	PA14_02330		
AEX-0000189	CDS	PA14_02340		
AEX-0000190	CDS	PA14_02360		
AEX-0000191	CDS	PA14_02370		
AEX-0000192	CDS	PA14_02380		
AEX-0000193	CDS	PA14_02390		
AEX-0000194	CDS	PA14_02410		
AEX-0000195	CDS	PA14_02420		
AEX-0000196	CDS	PA14_02435		
AEX-0000197	CDS	PA14_02450		
AEX-0000198	CDS	PA14_02460		
AEX-0000199	CDS	PA14_02470	pntB	
AEX-0000200	CDS	PA14_02490	tonB2	
AEX-0000201	CDS	PA14_02500	exbB1	
AEX-0000202	CDS	PA14_02510	exbD1	
AEX-0000203	CDS	PA14_02520		
AEX-0000204	CDS	PA14_02530		
AEX-0000205	CDS	PA14_02550	mdcA	
AEX-0000206	CDS	PA14_02560		
AEX-0000207	CDS	PA14_02570	mdcC	
AEX-0000208	CDS	PA14_02580	mdcD	
AEX-0000209	CDS	PA14_02590	mdcE	
AEX-0000210	CDS	PA14_02610		
AEX-0000211	CDS	PA14_02620		
AEX-0000212	CDS	PA14_02630		
AEX-0000213	CDS	PA14_02640		
AEX-0000214	CDS	PA14_02650		
AEX-0000215	CDS	PA14_02660		
AEX-0000216	CDS	PA14_02680		
AEX-0000217	CDS	PA14_02690		
AEX-0000218	CDS	PA14_02700		
AEX-0000219	CDS	PA14_02720		
AEX-0000220	CDS	PA14_02730		
AEX-0000221	CDS	PA14_02740		
AEX-0000222	CDS	PA14_02750		
AEX-0000223	CDS	PA14_02760		
AEX-0000224	CDS	PA14_02770		
AEX-0000225	CDS	PA14_02790	pcaF	
AEX-0000226	CDS	PA14_02810	pcaT	
AEX-0000227	CDS	PA14_02830	pcaB	
AEX-0000228	CDS	PA14_02840	pcaD	
AEX-0000229	CDS	PA14_02850	pcaC	
AEX-0000230	CDS	PA14_02870		
AEX-0000231	CDS	PA14_02890		
AEX-0000232	CDS	PA14_02900	pcaK	
AEX-0000233	CDS	PA14_02910		
AEX-0000234	CDS	PA14_02930		
AEX-0000235	CDS	PA14_02960		
AEX-0000236	CDS	PA14_02970		
AEX-0000237	CDS	PA14_02980		
AEX-0000238	CDS	PA14_02990		
AEX-0000239	CDS	PA14_03000		
AEX-0000240	CDS	PA14_03010		
AEX-0000241	CDS	PA14_03020		
AEX-0000242	CDS	PA14_03030	aroQ2	
AEX-0000243	CDS	PA14_03040		
AEX-0000244	CDS	PA14_03050	pobA	
AEX-0000245	CDS	PA14_03070		
AEX-0000246	CDS	PA14_03080		
AEX-0000247	CDS	PA14_03090		
AEX-0000248	CDS	PA14_03100		
AEX-0000249	CDS	PA14_03110		
