Source,Target,UniprotKB ACC,PATRIC ID
"PA14_00060",4385186,,
"PA14_00060",4385186,,"fig|208963.12.peg.5"
"PA14_00070",4385187,,"fig|208963.12.peg.6"
"PA14_00070",4385187,,
"PA14_00120",4385192,,"fig|208963.12.peg.11"
"PA14_00120",4385192,,
"PA14_00250",4385204,,"fig|208963.12.peg.22"
"PA14_00250",4385204,,
"PA14_00280",4384742,,"fig|208963.12.peg.23"
"PA14_00280",4384742,,
"PA14_00290",4384743,,
"PA14_00290",4384743,,"fig|208963.12.peg.24"
"PA14_00440",4384754,,"fig|208963.12.peg.35"
"PA14_00440",4384754,,
"PA14_00450",4384755,,"fig|208963.12.peg.36"
"PA14_00450",4384755,,
"PA14_00640",4381745,,"fig|208963.12.peg.54"
"PA14_00640",4381745,,
"PA14_01250",4383522,,
"PA14_01250",4383522,,"fig|208963.12.peg.107"
"PA14_01460",4383538,,
"PA14_01460",4383538,,"fig|208963.12.peg.124"
"PA14_01580",4384246,,
"PA14_01580",4384246,,"fig|208963.12.peg.134"
"PA14_01600",4384247,,
"PA14_01600",4384247,,"fig|208963.12.peg.135"
"PA14_01620",4384249,,
"PA14_01620",4384249,,"fig|208963.12.peg.137"
"PA14_01660",4384251,,"fig|208963.12.peg.139"
"PA14_01660",4384251,,
"PA14_01760",4383542,,"fig|208963.12.peg.149"
"PA14_01760",4383542,,
"PA14_01830",4383548,,"fig|208963.12.peg.157"
"PA14_01830",4383548,,
"PA14_01900",4383553,,"fig|208963.12.peg.162"
"PA14_01900",4383553,,
"PA14_01910",4383554,,"fig|208963.12.peg.163"
"PA14_01910",4383554,,
"PA14_02070",4383566,,"fig|208963.12.peg.176"
"PA14_02070",4383566,,
"PA14_02330",4383584,,
"PA14_02330",4383584,,"fig|208963.12.peg.194"
"PA14_02340",4383585,,"fig|208963.12.peg.195"
"PA14_02340",4383585,,
"PA14_02450",4383592,,
"PA14_02450",4383592,,"fig|208963.12.peg.204"
"PA14_02470",4383594,,
"PA14_02470",4383594,,"fig|208963.12.peg.206"
"PA14_02550",4383600,,"fig|208963.12.peg.212"
"PA14_02550",4383600,,
"PA14_02570",4383602,,"fig|208963.12.peg.214"
"PA14_02570",4383602,,
"PA14_02580",4383603,,
"PA14_02580",4383603,,"fig|208963.12.peg.215"
"PA14_02590",4383604,,"fig|208963.12.peg.216"
"PA14_02590",4383604,,
"PA14_02630",4383607,,
"PA14_02630",4383607,,"fig|208963.12.peg.220"
"PA14_02640",4383608,,
"PA14_02640",4383608,,"fig|208963.12.peg.221"
"PA14_02680",4383611,,
"PA14_02680",4383611,,"fig|208963.12.peg.225"
"PA14_02790",4383639,,
"PA14_02790",4383639,,"fig|208963.12.peg.234"
"PA14_02810",4383640,,"fig|208963.12.peg.235"
"PA14_02810",4383640,,
"PA14_02830",4383641,,
"PA14_02830",4383641,,"fig|208963.12.peg.236"
"PA14_02840",4383642,,
"PA14_02840",4383642,,"fig|208963.12.peg.237"
"PA14_02850",4383643,,"fig|208963.12.peg.238"
"PA14_02850",4383643,,
"PA14_02900",4383646,,"fig|208963.12.peg.241"
"PA14_02900",4383646,,
"PA14_02990",4383652,,"fig|208963.12.peg.247"
"PA14_02990",4383652,,
"PA14_03000",4383653,,
"PA14_03000",4383653,,"fig|208963.12.peg.248"
"PA14_03030",4383656,,"fig|208963.12.peg.251"
"PA14_03030",4383656,,
"PA14_03050",4383658,,
"PA14_03050",4383658,,"fig|208963.12.peg.253"
"PA14_03130",4383665,,"fig|208963.12.peg.260"
"PA14_03130",4383665,,
"PA14_03430",4384324,,
