cpd00015:	C27H31N9O15P2
cpd03128:	C31H50N7O17P3S
cpd00982:	C27H33N9O15P2
cpd03129:	C31H48N7O17P3S
cpd01260:	C33H54N7O17P3S
cpd02060:	C33H52N7O17P3S
cpd00134:	C37H62N7O17P3S
cpd03126:	C37H60N7O17P3S
cpd01335:	C29H46N7O17P3S
cpd03130:	C29H44N7O17P3S
cpd01695:	C35H58N7O17P3S
cpd03127:	C35H56N7O17P3S
cpd03124:	C27H42N7O17P3S
cpd03125:	C27H40N7O17P3S
cpd00120:	C25H38N7O17P3S
cpd00650:	C25H36N7O17P3S
cpd00003:	C21H26N7O14P2
cpd00842:	C25H38N7O18P3S
cpd00004:	C21H27N7O14P2
cpd00279:	C25H36N7O18P3S
cpd03116:	C33H54N7O18P3S
cpd03117:	C33H52N7O18P3S
cpd03113:	C37H62N7O18P3S
cpd03114:	C37H60N7O18P3S
cpd03115:	C35H58N7O18P3S
cpd12689:	C35H56N7O18P3S
cpd03118:	C31H50N7O18P3S
cpd03119:	C31H48N7O18P3S
cpd03122:	C27H42N7O18P3S
cpd03123:	C27H40N7O18P3S
cpd03120:	C29H46N7O18P3S
cpd03121:	C29H44N7O18P3S
cpd00001:	H2O
cpd01735:	C6H8O6
cpd00609:	C6H8O8
cpd00006:	C21H25N7O17P3
cpd00260:	C6H5O7
cpd00005:	C21H26N7O17P3
cpd03187:	C6H3O7
cpd00080:	C3H7O6P
cpd00095:	C3H5O6P
cpd00010:	C21H32N7O16P3S
cpd00191:	C3H3O3
cpd00011:	CO
cpd00022:	C23H34N7O17P3S
cpd00434:	NO
cpd00281:	NO
cpd00041:	NO
cpd00009:	HO
cpd02333:	NO
cpd00226:	C5H4N4O
cpd00309:	C5H4N4O2
cpd00300:	C5H4N4O3
cpd00036:	C4H4O4
cpd00106:	C4H2O4
cpd15560:	C49H74O4
cpd15561:	C49H76O4
cpd01351:	C54H82O4
cpd12225:	NORS
cpd12005:	NORS
cpd00075:	HNO
cpd00985:	NO
cpd00239:	HS
cpd00081:	HO
cpd00071:	C2H4O
cpd00029:	C2H3O2
cpd00102:	C3H5O6P
cpd00169:	C3H4O7P
cpd00079:	C6H11O9P
cpd00911:	C6H9O9P
cpd00287:	C4H5O3
cpd00086:	C24H36N7O17P3S
cpd00284:	C6H10O10P
cpd00171:	C5H9O8P
cpd00007:	O2
cpd00025:	H2O2
cpd03470:	NO
cpd00130:	C4H4O5
cpd00032:	C4H2O5
cpd11465:	PRS
cpd11464:	OS
cpd11475:	PRS
cpd11474:	OS
cpd11469:	OS
cpd11468:	OS
cpd11477:	OS
cpd11476:	PRS
cpd11473:	OS
cpd11472:	OS
cpd11471:	OS
cpd11470:	OS
cpd11467:	OS
cpd11466:	PRS
cpd11482:	C10H19O2S
cpd11487:	C10H17O2S
cpd11510:	PRS
cpd11511:	PRS
cpd11560:	PRS
cpd11561:	PRS
cpd11535:	PRS
cpd11536:	PRS
cpd11514:	PRS
cpd11515:	PRS
cpd11564:	PRS
cpd11565:	PRS
cpd11539:	PRS
cpd11540:	PRS
cpd11518:	PRS
cpd11519:	PRS
cpd11568:	PRS
cpd11569:	PRS
cpd11543:	PRS
cpd11544:	PRS
cpd11498:	PRS
cpd11499:	PRS
cpd11548:	PRS
cpd11549:	PRS
cpd11523:	PRS
cpd11524:	PRS
cpd11552:	PRS
cpd11553:	PRS
cpd11502:	PRS
cpd11503:	PRS
cpd11527:	PRS
cpd11528:	PRS
cpd11506:	PRS
cpd11507:	PRS
cpd11556:	PRS
cpd11557:	PRS
cpd11531:	PRS
cpd11532:	PRS
cpd15239:	PRS
cpd15277:	PRS
cpd15294:	PRS
cpd15572:	PRS
cpd15268:	PRS
cpd11572:	PRS
cpd11573:	PRS
cpd01882:	C26H40N7O17P3S
cpd01966:	C26H38N7O17P3S
cpd11478:	PRS
cpd11488:	C4H5O2S
cpd11479:	C6H11O2S
cpd11486:	C6H9O2S
cpd14938:	C18H33O2S
cpd17051:	C18H35O2X
cpd11483:	PRS
cpd11490:	C8H13O2S
cpd11481:	PRS
cpd11485:	C16H29O2S
cpd11508:	PRS
cpd11509:	PRS
cpd11558:	PRS
cpd11559:	PRS
cpd11533:	PRS
cpd11534:	PRS
cpd11512:	PRS
cpd11513:	PRS
cpd11562:	PRS
cpd11563:	PRS
cpd11537:	PRS
cpd11538:	PRS
cpd11516:	PRS
cpd11517:	PRS
cpd11566:	PRS
cpd11567:	PRS
cpd11541:	PRS
cpd11542:	PRS
cpd11570:	PRS
cpd11571:	PRS
cpd15376:	PRS
cpd15370:	PRS
cpd11480:	C12H23O2S
cpd11489:	C12H21O2S
cpd11484:	C14H27O2S
cpd11491:	C14H25O2S
cpd11496:	PRS
cpd11497:	PRS
cpd11546:	PRS
cpd11547:	PRS
cpd11521:	PRS
cpd11522:	PRS
cpd11550:	PRS
cpd11551:	PRS
cpd11500:	PRS
cpd11501:	PRS
cpd11525:	PRS
cpd11526:	PRS
cpd11504:	PRS
cpd11505:	PRS
cpd11554:	PRS
cpd11555:	PRS
cpd11529:	PRS
cpd11530:	PRS
cpd02693:	C7H10O5
cpd00200:	C6H9O3
cpd00386:	C4H4O5
cpd00020:	C3H3O3
cpd00203:	C3H4O10P2
cpd00024:	C5H4O5
cpd15568:	PRS
cpd11825:	PRS
cpd03420:	C43H43N4O16
cpd03833:	C43H44N4O17
cpd00002:	C10H13N5O13P3
cpd00149:	Co
cpd03913:	C45H60N6O12
cpd00008:	C10H13N5O10P2
cpd03914:	CoN
cpd00222:	C6H11O7
cpd00480:	C6H9O7
cpd00153:	C7H5O2
cpd03762:	C7H7O4
cpd11420:	C10H13N4O4R4S2
cpd11421:	C10H15N4O4R4S2
cpd01795:	C6H11O6
cpd02441:	C6H9O6
cpd17091:	C29H42N7O17P3S
cpd17090:	C29H44N7O17P3S
cpd01977:	NO
cpd00346:	NO
cpd00175:	C17H25N3O17P2
cpd17092:	C17H25N3O16P2
cpd00026:	C15H22N2O17P2
cpd00144:	C15H19N2O18P2
cpd00876:	C4H7O3
cpd00334:	C3H6O2
cpd00159:	C3H5O3
cpd00447:	NO
cpd00540:	NO
cpd00489:	C8H7O3
cpd00854:	C8H7O4
cpd03320:	C8H7O3
cpd00599:	C7H5O3
cpd00084:	NO
cpd00017:	C15H23N6O5S
cpd08828:	C14H15N2O3S2
cpd00019:	C14H20N6O5S
cpd00047:	CHO
cpd00078:	C25H35N7O19P3S
cpd00023:	NO
cpd00053:	C5H10N2O3
cpd00098:	NO
cpd11669:	C19H26O4
cpd17097:	C49H75O4
cpd00383:	C7H9O5
cpd01716:	C7H7O5
cpd00136:	C7H5O3
cpd00197:	C7H5O4
cpd00229:	C2H4O2
cpd00139:	C2H3O3
cpd00199:	C4H5O3
cpd02069:	C3H2O7P
cpd00087:	C19H21N7O6
cpd00330:	C19H19N7O6
cpd00129:	NO
cpd02431:	NO
cpd00345:	C20H23N7O6
cpd00125:	C20H21N7O6
cpd00413:	C26H37N7O19P3S
cpd00236:	C4H7O7P
cpd02147:	C4H6O8P
cpd03607:	NO
cpd04539:	NO
cpd00918:	NO
cpd02552:	NO
cpd00858:	NO
cpd00760:	C26H40N7O17P3S
cpd02125:	C26H38N7O17P3S
cpd00221:	C3H5O3
cpd03606:	C4H4O8P
cpd02083:	C36H40N4O8
cpd17016:	Fe
cpd00060:	NO
cpd00791:	C34H38N4O4
cpd03091:	C10H13N5O3
cpd17017:	Fe
cpd00449:	NOS
cpd00213:	NOS
cpd02691:	C26H40N7O18P3S
cpd02124:	C26H38N7O18P3S
cpd00347:	C20H20N7O6
cpd00797:	C4H7O3
cpd00142:	C4H5O3
cpd00042:	C10H16N3O6S
cpd00111:	C20H30N6O12S2
cpd00896:	C6H8O10P
cpd00027:	C6H12O6
cpd00170:	C6H10O6
cpd00314:	C6H14O6
cpd00082:	C6H12O6
cpd00491:	C6H13O9P
cpd00072:	C6H11O9P
cpd00064:	C5H13N2O2
cpd17078:	NO
cpd17085:	NO
cpd01620:	C42H41N4O16
cpd03426:	C42H38N4O16
cpd03760:	C44H49N4O16
cpd03761:	C44H47N4O16
cpd00773:	C20H28N3O19P2
cpd02820:	C20H26N3O19P2
cpd00219:	C10H8O6
cpd00868:	C9H7O4
cpd00322:	NO
cpd00013:	H4N
cpd03577:	C6H9O3
cpd00156:	NO
cpd00123:	C5H7O3
cpd00083:	C16H23N5O16P2
cpd00719:	C16H20N5O17P2
cpd00100:	C3H8O3
cpd00448:	C3H6O3
cpd08286:	C5H11O7P
cpd08289:	C5H9O7P
cpd00264:	C7H22N3
cpd00726:	C3H12N2
cpd00227:	NO
cpd00114:	C10H11N4O8P
cpd00497:	C10H11N4O9P
cpd08301:	C5H10O9P2
cpd08615:	C5H10O8P2
cpd00355:	C11H14N2O8P
cpd00012:	HO
cpd02097:	NO
cpd02720:	C9H15N4O9P
cpd00931:	C9H13N4O9P
cpd02828:	C8H6O6
cpd02572:	C8H5O7
cpd00361:	C4H8O2
cpd01947:	C4H10O2
cpd01949:	C4H10O2
cpd17083:	C13H7N2O2
cpd17044:	C12H8N2O
cpd17053:	C14H11N2O2
cpd01206:	C13H11N2O
cpd00408:	C6H11O4
cpd00712:	C6H9O4
cpd00641:	C6H12N3O
cpd00119:	C6H9N3O2
cpd00202:	C5H10O7P2
cpd00113:	C5H10O7P2
cpd00050:	C17H19N4O9P
cpd00223:	C3H5O4
cpd00145:	C3H3O4
cpd12227:	C25H34N6O19P2R2
cpd02345:	NO
cpd11912:	C10H12N5O3R
cpd00668:	C5H7O4
cpd02498:	C5H9O4
cpd00498:	C6H9O4
cpd02535:	C6H11O4
cpd02465:	NO
cpd02120:	NO
cpd00638:	C21H24N6O15P2
cpd00018:	C10H12N5O7P
cpd02113:	C16H24N2O15P2
cpd00522:	C16H22N2O15P2
cpd00117:	NO
cpd17049:	NO
cpd00085:	NO
cpd11311:	C4H8N
cpd00055:	CH
cpd01999:	C16H23N5O15P2
cpd00900:	C16H21N5O15P2
cpd02089:	C5H7O3
cpd00379:	C5H6O4
cpd00161:	NO
cpd02211:	NO
cpd00231:	C9H13N5O3
cpd00233:	C9H15N5O3
cpd00870:	NO
cpd00266:	NO
cpd07061:	NO
cpd15326:	C19H36O7P
cpd11493:	HS
cpd15525:	C35H64O8P
cpd15327:	C19H38O7P
cpd15524:	C35H68O8P
cpd15328:	C21H40O7P
cpd15527:	C39H72O8P
cpd15329:	C21H41O7P
cpd15526:	C39H76O8P
cpd15330:	C17H32O7P
cpd15523:	C31H56O8P
cpd15325:	C15H29O7P
cpd15521:	C27H52O8P
cpd15331:	C17H33O7P
cpd15522:	C31H60O8P
cpd11434:	C38H65N7O17P3S
cpd15672:	C20H40O7P
cpd15678:	C37H72O8P
cpd11439:	C36H61N7O17P3S
cpd15675:	C18H36O7P
cpd15681:	C33H64O8P
cpd11432:	C38H65N7O17P3S
cpd15671:	C20H40O7P
cpd15677:	C37H72O8P
cpd11441:	C37H63N7O17P3S
cpd15676:	C19H38O7P
cpd15682:	C35H68O8P
cpd11437:	C36H61N7O17P3S
cpd15674:	C18H36O7P
cpd15680:	C33H64O8P
cpd11435:	C35H59N7O17P3S
cpd15673:	C17H34O7P
cpd15679:	C31H60O8P
cpd00327:	C39H66N7O17P3S
cpd11574:	MoO
cpd00118:	C4H14N2
cpd00051:	C6H15N4O2
cpd00216:	C10H8O6
cpd00093:	NO
cpd00107:	NO
cpd01772:	C11H8O5
cpd02021:	C32H39N7O20P3S
cpd17077:	NO
cpd11596:	C4H9O3S
cpd02090:	C6H14O8P
cpd03847:	C14H27O2
cpd00214:	C16H31O2
cpd11430:	C14H27O2
cpd11438:	C15H29O2
cpd11436:	C15H29O2
cpd11440:	C16H31O2
cpd11433:	C17H33O2
cpd11431:	C17H33O2
cpd15237:	C16H29O2
cpd15238:	C37H61N7O17P3S
cpd01080:	C18H35O2
cpd15269:	C18H33O2
cpd15274:	C39H65N7O17P3S
cpd04099:	H2O3P
cpd11492:	C3H2O3S
cpd11494:	OS
cpd00052:	C9H13N3O14P3
cpd15684:	C46H83N3O15P2
cpd15687:	C42H75N3O15P2
cpd15417:	C36H63N3O15P2
cpd15423:	C40H71N3O15P2
cpd15422:	C40H67N3O15P2
cpd15418:	C44H75N3O15P2
cpd15421:	C48H87N3O15P2
cpd15420:	C48H83N3O15P2
cpd15683:	C46H83N3O15P2
cpd15688:	C44H79N3O15P2
cpd15686:	C42H75N3O15P2
cpd15685:	C40H71N3O15P2
cpd00058:	Cu
cpd04097:	Pb
cpd00531:	Hg
cpd00338:	NO
cpd03560:	C13H17N5O8P
cpd00141:	C3H5O2
cpd00247:	C5H3N2O4
