,Reactions,Charge,Masses
0,rxn10122,-9.0,{'H': -9.0}
1,rxn13844,,"{'S': -1.0, 'X': 1.0}"
2,rxn13839,,{'H': -2.0}
3,rJB00277,,{'H': 2.0}
4,rxn13898,1.0,"{'C': 30.0, 'H': 48.0}"
5,rAB00001,-1.0,{'H': -1.0}
6,rxn13896,,{'H': 1.0}
7,rxn00190,-2.0,{'H': -2.0}
8,rxn00138,-2.0,{'H': -2.0}
9,rxn13788,-1.0,{'H': -1.0}
10,rxn10215,-1.0,{'H': -1.0}
11,rxn10218,-1.0,{'H': -1.0}
12,rxn10214,-1.0,{'H': -1.0}
13,rxn10219,-1.0,{'H': -1.0}
14,rxn10217,-1.0,{'H': -1.0}
15,rxn10216,-1.0,{'H': -1.0}
16,rxn10212,1.0,{'H': 1.0}
17,rxn10213,1.0,{'H': 1.0}
18,rxn13885,3.0,{'H': -3.0}
19,rxn13828,-1.0,{'H': -1.0}
20,rxn13829,-1.0,{'H': -1.0}
21,rxn10221,-1.0,{'H': -1.0}
22,rxn10224,-1.0,{'H': -1.0}
23,rxn08306,-1.0,{'H': -1.0}
24,rxn08307,-1.0,{'H': -1.0}
25,rxn08308,-1.0,{'H': -1.0}
26,rxn08310,-1.0,{'H': -1.0}
27,rxn08311,-1.0,{'H': -1.0}
28,rxn08312,-1.0,{'H': -1.0}
29,rxn10220,-1.0,{'H': -1.0}
30,rxn10225,-1.0,{'H': -1.0}
31,rxn10223,-1.0,{'H': -1.0}
32,rxn10222,-1.0,{'H': -1.0}
33,rxn00986,1.0,{'H': 1.0}
34,rxn00675,-1.0,{'H': -1.0}
35,rxn13785,2.3400000000000003,"{'C': -29.529999999999998, 'H': -54.330000000000005, 'O': -10.92, 'P': -1.49, 'N': -2.0, 'R': -0.98}"
36,rPY00162,2.0,"{'C': -11.0, 'H': -21.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'R': -1.0}"
37,rPY00167,3.0,"{'C': -11.0, 'H': -20.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'R': -1.0}"
38,rxn13872,,"{'O': -1.0, 'S': 1.0, 'X': -1.0}"
39,rxn00416,-2.0,{'H': -2.0}
40,rxn11080,-1.0,"{'H': 1.0, 'O': 1.0}"
41,rxn13843,-1.0,"{'C': 11.0, 'H': 20.0, 'O': 7.0, 'X': -1.0, 'N': 2.0, 'P': 1.0, 'R': 1.0, 'S': 1.0}"
42,rPY00183,,{'H': -2.0}
43,rxn00065,-1.0,{'H': -1.0}
44,rPY00172,1.0,{}
45,rPY00175,1.0,{}
46,rxn13877,-2.0,{'H': 1.0}
47,rxn13805,1.0,"{'C': -6.0, 'H': -7.0, 'O': -6.0, 'R': 2.0}"
48,rxn13807,1.0,"{'C': 6.0, 'H': 9.0, 'O': 6.0, 'R': -2.0}"
49,rxn08309,-1.0,{'H': -1.0}
50,rPY00163,-1.0,{'H': -1.0}
51,rPY00168,-1.0,{'H': -1.0}
52,rxn00300,-2.0,{'H': -2.0}
53,rxn06280,-4.0,"{'C': 10.0, 'H': 13.0, 'O': 13.0, 'P': 2.0, 'R': 1.0}"
54,rxn09240,-1.0,{'H': -1.0}
55,rxn12848,-1.0,{'H': -1.0}
56,rxn12849,-1.0,{'H': -1.0}
57,rxn12850,-1.0,{'H': -1.0}
58,rxn12851,-1.0,{'H': -1.0}
59,rxn13792,,"{'S': -1.0, 'X': 1.0}"
60,rxn13793,2.0,"{'O': -7.0, 'C': -11.0, 'H': -21.0, 'N': -2.0, 'P': -1.0, 'R': -1.0, 'S': -1.0, 'X': 1.0}"
61,rxn00711,-1.0,{'H': -1.0}
62,rxn13859,-2.0,"{'H': -15.0, 'C': -11.0, 'N': -1.0}"
63,rxn06439,-4.0,"{'C': 5.0, 'H': 9.0, 'N': -5.0, 'O': 13.0, 'P': 2.0, 'R': 2.0}"
64,rxn13870,6.0,{}
65,rxn13888,4.0,{}
66,rxn13107,-2.0,{}
67,rxn13804,,"{'C': 30.0, 'H': 48.0}"
68,rxn10196,1.0,"{'C': -40.0, 'H': -63.0, 'N': -8.0, 'O': -21.0}"
69,rxn10195,1.0,"{'C': -40.0, 'H': -63.0, 'N': -8.0, 'O': -21.0}"
70,rxn10194,1.0,"{'C': -40.0, 'H': -63.0, 'N': -8.0, 'O': -21.0}"
71,rxn02302,-1.0,{'H': -1.0}
72,rxn01816,1.0,{'H': 1.0}
73,rxn00126,-1.0,{'H': -1.0}
74,rxn00791,-1.0,{'H': -1.0}
75,rxn12880,-1.0,"{'O': -1.0, 'H': 2.0}"
76,rxn13819,1.0,{}
77,rxn00670,-1.0,{'H': -1.0}
78,rxn13810,-1.0,"{'H': 22.0, 'O': 9.0, 'C': 14.0, 'N': 5.0, 'R': -2.0}"
79,rxn13904,-1.0,{'H': 1.0}
80,rxn06023,,"{'C': -11.0, 'H': -21.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'R': -1.0}"
81,rxn10090,-1.0,{'H': -1.0}
82,rxn11544,-1.0,{'H': -1.0}
83,rxn13861,1.0,"{'C': 11.0, 'H': 14.0, 'N': 1.0}"
84,rxn08707,-1.0,{'H': -1.0}
85,rxn00139,-1.0,{'H': -1.0}
86,rxn13851,2.0,"{'H': -20.0, 'C': -11.0, 'O': -7.0, 'N': -2.0, 'P': -1.0, 'R': -1.0}"
87,rxn06831,-2.0,{'H': -2.0}
88,rxn13299,,"{'H': -32.0, 'O': -16.0, 'C': -18.0}"
89,rxn13817,-0.98,"{'C': 8.82, 'H': 12.74, 'N': 2.94, 'O': 7.84, 'P': 0.98}"
90,rxn13643,1.0,"{'C': 18.0, 'H': 33.0, 'O': 16.0}"
91,rxn13815,0.98,"{'C': 5.88, 'H': 5.88, 'O': 1.9600000000000002, 'P': -3.469446951953614e-17, 'N': 2.94}"
92,rxn12221,2.0,{}
93,rxn06447,-3.0,"{'C': 5.0, 'H': 10.0, 'N': -5.0, 'O': 13.0, 'P': 2.0, 'R': 2.0}"
94,rxn05451,3.0,"{'C': -11.0, 'H': -19.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'R': -1.0}"
95,rxn05455,3.0,"{'C': -11.0, 'H': -19.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'R': -1.0}"
96,rxn05453,3.0,"{'C': -11.0, 'H': -19.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'R': -1.0}"
97,rxn05452,3.0,"{'C': -11.0, 'H': -19.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'R': -1.0}"
98,rxn05456,3.0,"{'C': -11.0, 'H': -19.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'R': -1.0}"
99,rxn05454,3.0,"{'C': -11.0, 'H': -19.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'R': -1.0}"
100,rxn05358,-2.0,"{'C': 11.0, 'H': 20.0, 'N': 2.0, 'O': 7.0, 'P': 1.0, 'R': 1.0}"
101,rxn05408,-2.0,"{'C': 11.0, 'H': 20.0, 'N': 2.0, 'O': 7.0, 'P': 1.0, 'R': 1.0}"
102,rxn05383,-2.0,"{'C': 11.0, 'H': 20.0, 'N': 2.0, 'O': 7.0, 'P': 1.0, 'R': 1.0}"
103,rxn05458,2.0,"{'C': -11.0, 'H': -20.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'R': -1.0}"
104,rxn05459,2.0,"{'C': -11.0, 'H': -20.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'R': -1.0}"
105,rxn05457,2.0,"{'C': -11.0, 'H': -21.0, 'N': -2.0, 'O': -7.0, 'P': -1.0, 'R': -1.0}"
106,rxn02405,-1.0,{'H': -1.0}
107,rxn13880,2.0,{}
108,rxn00790,-1.0,{'H': -1.0}
109,rxn06937,-4.0,"{'C': 10.0, 'H': 13.0, 'O': 13.0, 'P': 2.0, 'R': 1.0}"
110,rxn13915,1.0,{}
111,rxn13916,1.0,{}
112,rxn13917,1.0,{}
113,rxn13922,-2.0,{}
114,rxn13923,-2.0,{}
115,rxn13912,2.0,{}
116,rxn13911,1.0,{}
117,rxn12892,-1.0,"{'C': -52.0, 'H': -81.0, 'O': -2.0}"
118,rxn05003,,{'H': -1.0}
119,rxn13864,,"{'C': -30.0, 'H': -48.0}"
120,rxn13903,-1.0,{'H': 1.0}
121,rxn06443,-4.0,"{'C': 10.0, 'H': 13.0, 'O': 13.0, 'P': 2.0, 'R': 1.0}"
122,rxn01434,-2.0,{'H': -2.0}
123,rxn13874,-1.0,{'H': 1.0}
124,rxn13882,2.0,{}
125,rxn13881,1.0,{}
126,rxn13889,-1.0,"{'C': -8.82, 'H': -12.76, 'N': -2.94, 'O': -6.86, 'P': -0.98}"
127,rxn05030,-1.0,{'H': -1.0}
128,rxn10202,1.0,{'H': 1.0}
129,rxn00917,-2.0,{'H': -2.0}
130,rxn06441,-4.0,"{'C': 10.0, 'H': 13.0, 'O': 13.0, 'P': 2.0, 'R': 1.0}"
131,rxn10199,-2.0,"{'C': 40.0, 'H': 63.0, 'N': 8.0, 'O': 21.0, 'R': 1.0}"
132,rxn13826,-1.0,{'H': -1.0}
133,rxn01466,-1.0,{'H': -1.0}
134,rPY00173,-2.0,{}
135,rPY00176,-2.0,{}
136,rxn13887,-1.96,"{'H': -0.9800000000000002, 'O': 2.9400000000000004, 'P': 0.98}"
137,rxn13798,,{'H': 1.0}
138,rxn00792,-1.0,{'H': -1.0}
139,rxn13883,-1.0,{}
140,rxn06448,-4.0,"{'C': 10.0, 'H': 13.0, 'O': 13.0, 'P': 2.0, 'R': 1.0}"
141,rxn00789,-1.0,{'H': -1.0}
142,rxn02402,-1.0,{'H': -1.0}
143,rxn00100,-1.0,{'H': -1.0}
144,rxn09037,-5.0,{'H': -5.0}
145,rxn05028,-1.0,{'H': -1.0}
146,rxn00915,-1.0,{'H': -1.0}
147,rxn00836,-1.0,{'H': -1.0}
148,rxn12218,2.0,{}
149,rxn13816,-0.98,"{'C': 5.88, 'H': 5.88, 'N': 1.96, 'O': 4.9, 'P': 0.98}"
150,rPY00164,-1.0,{}
151,rPY00169,-1.0,{}
152,rxn01791,-2.0,{'H': -2.0}
153,rxn02201,-1.0,{'H': -1.0}
154,rxn13894,0.02,"{'C': 0.98, 'H': 0.01999999999999999, 'O': 1.96}"
155,rPY00165,-1.0,{}
156,rPY00170,-1.0,{}
157,rxn13878,1.0,{}
158,rxn13879,1.0,{}
159,rxn13867,,{'H': 3.0}
160,rxn13866,,{'H': 1.0}
161,rxn13869,,{'H': 1.0}
162,rPY00222,,{'H': 1.0}
163,rPY00221,,{'H': 1.0}
164,rxn06432,-4.0,"{'C': 10.0, 'H': 13.0, 'O': 13.0, 'P': 2.0, 'R': 1.0}"
165,rxn12879,-1.0,{'H': -1.0}
166,rxn02834,-2.0,{'H': -2.0}
167,rxn13108,,"{'O': 1.0, 'C': 52.0, 'H': 78.0}"
168,rxn09177,-2.0,{'H': -2.0}
169,rxn01519,-2.0,{'H': -2.0}
170,rxn01362,1.0,{'H': 1.0}
171,rxn03893,-1.0,{'H': -1.0}
172,rxn05034,-1.0,{'H': -1.0}
173,rxn13818,,"{'C': 2.9400000000000004, 'H': 7.84, 'O': 2.94}"
174,rxn13899,2.0,{'H': 2.0}
175,rxn13900,,{'H': 4.0}
176,rxn13901,,{'H': 2.0}
177,rPY00182,1.0,"{'C': -177.0, 'H': -321.0, 'O': -39.0, 'P': -4.0, 'N': -6.0, 'S': -1.0, 'No': 1.0}"
178,rxn13868,,{'H': 2.0}
179,rxn13876,-2.0,{'H': 1.0}
180,rPY00180,1.0,"{'C': -161.0, 'H': -293.0, 'O': -39.0, 'P': -4.0, 'N': -6.0, 'S': -1.0, 'No': 1.0}"
181,rPY00166,,"{'C': -52.0, 'H': -94.0, 'N': -7.0, 'O': -13.0, 'P': -1.0, 'S': -1.0, 'No': 1.0}"
182,rPY00171,,"{'C': -56.0, 'H': -102.0, 'N': -7.0, 'O': -13.0, 'P': -1.0, 'S': -1.0, 'No': 1.0}"
183,rPY00174,,"{'C': -53.0, 'H': -94.0, 'O': -15.0, 'P': -1.0, 'N': -6.0, 'S': -1.0, 'No': 1.0}"
184,rPY00177,,"{'C': -15.0, 'H': -22.0, 'O': -5.0, 'N': -6.0, 'S': -1.0}"
185,rxn01093,-1.0,{'H': -1.0}
186,rxn05118,1.0,{'H': 1.0}
187,rxn13789,2.0,{}
188,rxn13921,-1.0,{'H': -1.0}
189,rxn13825,1.0,{'H': 1.0}
190,EX_cpd00797_e,1.0,"{'C': -4.0, 'H': -7.0, 'O': -3.0}"
191,EX_cpd17085_e,,"{'C': -16.0, 'H': -21.0, 'N': -1.0, 'O': -2.0}"
192,EX_cpd00176_e,1.0,"{'C': -6.0, 'H': -9.0, 'O': -6.0}"
193,EX_cpd00024_e,2.0,"{'C': -5.0, 'H': -4.0, 'O': -5.0}"
194,EX_cpd00489_e,1.0,"{'C': -8.0, 'H': -7.0, 'O': -3.0}"
195,EX_cpd00147_c,,"{'C': -11.0, 'H': -15.0, 'N': -5.0, 'O': -3.0, 'S': -1.0}"
196,EX_cpd00029_e,1.0,"{'C': -2.0, 'H': -3.0, 'O': -2.0}"
197,EX_cpd00142_e,1.0,"{'C': -4.0, 'H': -5.0, 'O': -3.0}"
198,EX_cpd00182_e,,"{'C': -10.0, 'H': -13.0, 'N': -5.0, 'O': -4.0}"
199,EX_cpd11587_e,,"{'C': -8.0, 'H': -15.0, 'N': -3.0, 'O': -4.0}"
200,EX_cpd11584_e,,"{'C': -9.0, 'H': -14.0, 'N': -4.0, 'O': -3.0}"
201,EX_cpd11593_e,1.0,"{'C': -7.0, 'H': -11.0, 'N': -2.0, 'O': -5.0}"
202,EX_cpd11583_e,,"{'C': -9.0, 'H': -18.0, 'N': -2.0, 'O': -3.0}"
203,EX_cpd11586_e,1.0,"{'C': -8.0, 'H': -13.0, 'N': -2.0, 'O': -5.0}"
204,EX_cpd11582_e,,"{'C': -7.0, 'H': -14.0, 'N': -2.0, 'O': -4.0}"
205,EX_cpd01092_e,,"{'C': -4.0, 'H': -6.0, 'N': -4.0, 'O': -3.0}"
206,EX_cpd00162_e,-1.0,"{'C': -2.0, 'H': -8.0, 'N': -1.0, 'O': -1.0}"
207,EX_cpd01262_e,,"{'C': -18.0, 'H': -32.0, 'O': -16.0}"
208,EX_cpd01048_e,2.0,"{'H': -1.0, 'As': -1.0, 'O': -4.0}"
209,EX_cpd04098_e,1.0,"{'H': -2.0, 'As': -1.0, 'O': -3.0}"
210,EX_cpd00540_e,,"{'C': -5.0, 'H': -11.0, 'N': -1.0, 'O': -2.0}"
211,EX_cpd11596_e,1.0,"{'C': -4.0, 'H': -9.0, 'O': -3.0, 'S': -1.0}"
212,EX_cpd00211_e,1.0,"{'C': -4.0, 'H': -7.0, 'O': -2.0}"
213,EX_cpd00063_e,-2.0,{'Ca': -1.0}
214,EX_cpd00635_e,-2.0,"{'C': -62.0, 'H': -91.0, 'Co': -1.0, 'N': -13.0, 'O': -14.0, 'P': -1.0}"
215,EX_cpd01012_e,-2.0,{'Cd': -1.0}
216,EX_cpd00098_e,-1.0,"{'C': -5.0, 'H': -14.0, 'N': -1.0, 'O': -1.0}"
217,EX_cpd11595_e,,"{'H': -2.0, 'Cr': -1.0, 'O': -4.0}"
218,EX_cpd00137_e,3.0,"{'C': -6.0, 'H': -5.0, 'O': -7.0}"
219,EX_cpd00099_e,1.0,{'Cl': -1.0}
220,EX_cpd00011_e,,"{'C': -1.0, 'O': -2.0}"
221,EX_cpd00149_e,-2.0,{'Co': -1.0}
222,EX_cpd00058_e,-2.0,{'Cu': -1.0}
223,EX_cpd01015_e,1.0,"{'C': -1.0, 'N': -1.0, 'O': -1.0}"
224,EX_cpd01017_e,,"{'C': -5.0, 'H': -10.0, 'N': -2.0, 'O': -3.0, 'S': -1.0}"
225,EX_cpd00381_e,,"{'C': -6.0, 'H': -12.0, 'N': -2.0, 'O': -4.0, 'S': -2.0}"
226,EX_cpd00367_e,,"{'C': -9.0, 'H': -13.0, 'N': -3.0, 'O': -5.0}"
227,EX_cpd00307_e,,"{'C': -4.0, 'H': -5.0, 'N': -3.0, 'O': -1.0}"
228,EX_cpd00117_e,,"{'C': -3.0, 'H': -7.0, 'N': -1.0, 'O': -2.0}"
229,EX_cpd00438_e,,"{'C': -10.0, 'H': -13.0, 'N': -5.0, 'O': -3.0}"
230,EX_cpd00654_e,,"{'C': -9.0, 'H': -13.0, 'N': -3.0, 'O': -4.0}"
231,EX_cpd00277_e,,"{'C': -10.0, 'H': -13.0, 'N': -5.0, 'O': -4.0}"
232,EX_cpd03279_e,,"{'C': -10.0, 'H': -12.0, 'N': -4.0, 'O': -4.0}"
233,EX_cpd00412_e,,"{'C': -9.0, 'H': -12.0, 'N': -2.0, 'O': -5.0}"
234,EX_cpd00082_e,,"{'C': -6.0, 'H': -12.0, 'O': -6.0}"
235,EX_cpd00072_e,2.0,"{'C': -6.0, 'H': -11.0, 'O': -9.0, 'P': -1.0}"
236,EX_cpd00653_e,1.0,"{'C': -6.0, 'H': -11.0, 'O': -7.0}"
237,EX_cpd00280_e,1.0,"{'C': -6.0, 'H': -9.0, 'O': -7.0}"
238,EX_cpd00609_e,2.0,"{'C': -6.0, 'H': -8.0, 'O': -8.0}"
239,EX_cpd00027_e,,"{'C': -6.0, 'H': -12.0, 'O': -6.0}"
240,EX_cpd00079_e,2.0,"{'C': -6.0, 'H': -11.0, 'O': -9.0, 'P': -1.0}"
241,EX_cpd00221_e,1.0,"{'C': -3.0, 'H': -5.0, 'O': -3.0}"
242,EX_cpd01307_e,,"{'C': -5.0, 'H': -12.0, 'O': -5.0}"
243,EX_cpd00386_e,2.0,"{'C': -4.0, 'H': -4.0, 'O': -5.0}"
244,EX_cpd00637_e,,"{'C': -5.0, 'H': -11.0, 'N': -1.0, 'O': -2.0, 'S': -1.0}"
245,EX_cpd00652_e,2.0,"{'C': -6.0, 'H': -8.0, 'O': -8.0}"
246,EX_cpd00105_e,,"{'C': -5.0, 'H': -10.0, 'O': -5.0}"
247,EX_cpd00550_e,,"{'C': -3.0, 'H': -7.0, 'N': -1.0, 'O': -3.0}"
248,EX_cpd11579_e,1.0,"{'C': -2.0, 'H': -5.0, 'O': -3.0, 'S': -1.0}"
249,EX_cpd00021_e,,{'Fe': -1.0}
250,EX_cpd10516_e,-3.0,{'Fe': -1.0}
251,EX_cpd03724_e,,"{'C': -27.0, 'H': -42.0, 'Fe': -1.0, 'N': -9.0, 'O': -12.0}"
252,EX_cpd00106_e,2.0,"{'C': -4.0, 'H': -2.0, 'O': -4.0}"
253,EX_cpd00108_e,,"{'C': -6.0, 'H': -12.0, 'O': -6.0}"
254,EX_cpd00164_e,1.0,"{'C': -6.0, 'H': -9.0, 'O': -7.0}"
255,EX_cpd11581_e,,"{'C': -6.0, 'H': -11.0, 'N': -3.0, 'O': -4.0}"
256,EX_cpd11589_e,1.0,"{'C': -6.0, 'H': -9.0, 'N': -2.0, 'O': -5.0}"
257,EX_cpd00100_e,,"{'C': -3.0, 'H': -8.0, 'O': -3.0}"
